# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
71.0542532314	40.7864491286	0.00062	0.00050	90	71.0543208986	40.7863432653	202938029370960768	2015.0	0.447	0.364	5.28	0.50	12.296	0.028	-25.407	0.023	-0.167	0	76	6.10577e+07	6.55339e+04	6.060	NOT_AVAILABLE	163.0615458884	-3.2835012907
73.7135108140	44.0608629655	0.00052	0.00052	90	73.7136385248	44.0606312536	205334037007792896	2015.0	0.347	0.401	9.80	0.54	22.026	0.026	-55.611	0.022	0.105	0	83	5.96200e+07	1.16908e+05	6.086	NOT_AVAILABLE	161.8071508864	0.3218568324
74.0140250136	43.4934523320	0.00084	0.00062	90	74.0139874971	43.4933552849	205337369900695296	2015.0	0.441	0.319	1.87	0.44	-6.532	0.047	-23.291	0.035	-0.250	0	68	5.89540e+07	1.13860e+05	6.098	NOT_AVAILABLE	162.3848738870	0.1345816549
73.8118390231	43.4173343382	0.00696	0.00688	-0	73.8118585023	43.4172947708	205244598608867840	2015.0	0.285	0.248	1.41	0.30	3.396	0.459	-9.496	0.464	-0.191	0	67	5.75056e+07	7.32801e+04	6.125	NOT_AVAILABLE	162.3520725291	-0.0274006013
75.1724211741	40.2324434046	0.00606	0.00535	0	75.1724141129	40.2324491827	200773881250108160	2015.0	0.324	0.315	2.49	0.36	-1.294	0.356	1.387	0.403	-0.300	0	76	5.00153e+07	6.48085e+04	6.277	NOT_AVAILABLE	165.4768521180	-1.2137792813
88.9065815566	53.4598822973	0.00024	0.00022	0	88.9065815566	53.4598822973	216066163846672128	2015.0	0.219	0.237							-0.304	0	67	5.73117e+07	1.32996e+05	6.129	NOT_AVAILABLE	159.4446397987	13.8031809608
86.7501837842	51.5208726025	0.00077	0.00059	90	86.7501035581	51.5207106552	215617597463288576	2015.0	0.307	0.282	6.20	0.23	-11.981	0.047	-38.867	0.034	-0.723	0	62	5.51330e+07	3.56889e+04	6.171	NOT_AVAILABLE	160.5611709938	11.7300684708
87.6406335486	47.4610269590	0.00075	0.00061	90	87.6407485418	47.4609872356	210087328853239552	2015.0	0.352	0.382	2.53	0.38	18.659	0.044	-9.534	0.032	-0.531	0	89	4.97328e+07	5.72637e+04	6.283	NOT_AVAILABLE	164.4588674618	10.2546830348
80.1631722264	46.9637854038	0.00071	0.00049	90	80.1631360280	46.9637516098	211936123296938624	2015.0	0.247	0.276	2.85	0.33	-5.929	0.044	-8.111	0.027	-0.166	0	63	4.91054e+07	3.70527e+04	6.297	NOT_AVAILABLE	162.1827818475	5.6776707995
79.6359918539	48.9235003935	0.00067	0.00053	90	79.6361032565	48.9233746977	213273576110354304	2015.0	0.301	0.342	3.98	0.36	17.568	0.040	-30.167	0.027	-0.370	0	74	4.35383e+07	2.67111e+04	6.428	NOT_AVAILABLE	160.3575482326	6.4966623189
57.3860875374	33.0913967458	0.00084	0.00050	90	57.3860875374	33.0913967458	217180003484424448	2015.0	0.840	0.496							0.144	0	243	1.29921e+08	5.39312e+05	5.241	NOT_AVAILABLE	160.7002053732	-16.4168633419
59.1195575268	35.0808797082	0.00075	0.00059	90	59.1195575268	35.0808797082	218954821409990912	2015.0	0.751	0.592							-0.086	0	212	1.01460e+08	2.71647e+05	5.509	NOT_AVAILABLE	160.4686941314	-13.9737721622
55.2827410121	37.5801966801	0.00088	0.00034	90	55.2828595058	37.5800810474	223338952228386816	2015.0	0.718	0.255	5.66	0.93	22.538	0.034	-27.752	0.015	0.301	0	321	9.21652e+07	2.05734e+05	5.613	NOT_AVAILABLE	156.3731869744	-14.0377051577
